database,table,columns
BACKUP_2022,LYT_AVERIAS_LIQUIDADAS_202201,122
BACKUP_2022,LYT_AVERIAS_LIQUIDADAS_202202,122
BACKUP_2022,LYT_AVERIAS_LIQUIDADAS_202203,122
BACKUP_2022,LYT_AVERIAS_LIQUIDADAS_202204,122
BACKUP_2022,LYT_AVERIAS_LIQUIDADAS_202205,122
BACKUP_2022,LYT_AVERIAS_MASIVAS_202201,62
BACKUP_2022,LYT_AVERIAS_MASIVAS_202202,62
BACKUP_2022,LYT_AVERIAS_MASIVAS_202203,62
BACKUP_2022,LYT_AVERIAS_MASIVAS_202204,62
BACKUP_2022,LYT_CONTACT_CENTER_ACCESADAS_202201,194
BACKUP_2022,LYT_CONTACT_CENTER_ACCESADAS_202202,194
BACKUP_2022,LYT_CONTACT_CENTER_ACCESADAS_202203,194
BACKUP_2022,LYT_CONTACT_CENTER_ACCESADAS_202204,194
BACKUP_2022,LYT_CONTACT_CENTER_ACCESADAS_202205,194
BACKUP_2022,LYT_CONTACT_CENTER_ACCESADAS_202206,196
BACKUP_2022,LYT_CONTACT_CENTER_ENTRANTES_202201,160
BACKUP_2022,LYT_CONTACT_CENTER_ENTRANTES_202202,160
BACKUP_2022,LYT_CONTACT_CENTER_ENTRANTES_202203,160
BACKUP_2022,LYT_CONTACT_CENTER_ENTRANTES_202204,160
BACKUP_2022,LYT_CONTACT_CENTER_ENTRANTES_202205,160
BACKUP_2022,LYT_CONTACT_CENTER_ENTRANTES_202206,162
BACKUP_2022,LYT_DEVUELTAS_TECNICAS_202201,55
BACKUP_2022,LYT_PROVISION_EJECUTADA_202201,88
BACKUP_2022,LYT_PROVISION_EJECUTADA_202202,88
BACKUP_2022,LYT_PROVISION_EJECUTADA_202203,88
BACKUP_2022,LYT_PROVISION_EJECUTADA_202204,88
BACKUP_2022,LYT_PROVISION_EJECUTADA_202205,88
BACKUP_2022,LYT_PROVISION_EJECUTADA_202208,88
BACKUP_2022,LYT_TIPIFICACIONES_MES_202101_202112,79
BACKUP_2022,LYT_TIPIFICACIONES_MES_202201_202212,79
BACKUP_2022,MULTICONSULTA_ARBOL_DECISIONES_202201,79
BACKUP_2022,MULTICONSULTA_ARBOL_DECISIONES_202202,79
BACKUP_2022,MULTICONSULTA_ARBOL_DECISIONES_202203,79
