table,columns
T_ADMIN_BASE_DATOS,14
T_ADMIN_BASE_DATOS_ANTERIOR,14
T_ADMIN_DISCO_DURO,7
T_ADMIN_DISCO_DURO_ANTERIOR,7
T_ADMIN_TAMANIO_TABLAS,12
T_ADMIN_TAMANIO_TABLAS_ANTERIOR,12
T_LOG_PROCESOS,4
T_WHO2_CAPTURA,14
T_ANIS_UNICOS,6
T_DETALLE_ABANDONO,17
T_DETALLE_INFOMART_202503,72
T_HISPAM_RESUMEN,5
T_LISTADO_DNIS_GENESYS_V2,5
T_LISTADO_RP_ATENCION_RAPIDA,6
T_LISTA_BLANCA,1
T_LISTA_CABINAS,9
T_LISTA_CABINAS_OLD,9
T_LISTA_DNI_TEMPO,1
T_LISTA_NEGRA,8
T_TEMPORAL_DETALLE_LLAMADAS_V7,34
T_TEMP_DETALLE_INFOMART,70
T_TEMP_DETALLE_INFORMART_V5,72
T_TMP_LISTA_CABINAS,9
base_multicentro,1
sysdiagrams,5
T_AGENT_NOT_READY_REASON_CODE_REPORT,9
T_AGENT_NOT_READY_REASON_CODE_REPORT_202311,9
T_AGENT_NOT_READY_REASON_CODE_REPORT_202312,9
T_AGENT_NOT_READY_REASON_CODE_REPORT_202401,9
T_AGENT_NOT_READY_REASON_CODE_REPORT_202402,9
T_AGENT_NOT_READY_REASON_CODE_REPORT_202403,9
T_AGENT_NOT_READY_REASON_CODE_REPORT_202404,9
T_TEMP_Agent_Not_Ready_Reason_Code_Report_Today_PASO_1,13
20240917___LLAMADAS_ATENDIDAS_FACTURACION,58
20240917_____T_TMP_DETALLE,21
JCO_LISTADO_CTI_DIARIO,24
LD_CLIENTES_REIT,5
LD_TMP_TABLA_BATCHERO_ELIMINA_ARCHIVOS_IHV5_POR_HORAS,1
LLAMADAS_ATENDIDAS,58
LLAMADAS_ATENDIDAS_FACTURACION,58
PROCESO_LOG_PROCESO_REIT_Y_TRANSF,4
TMP_CTI,23
TMP_RESUMEN_AGENTE_REITERADAS,9
TMP_RESUMEN_AGENTE_REITERADAS_CUARTIL,8
TMP_RESUMEN_CTI,27
TMP_RESUMEN_Q_RELL,5
TMP_RESUMEN_Q_TRX,5
TMP_T_RESUMEN_AGENTE_TRANSF_CUARTIL,8
TMP_T_RESUMEN_AGENTE_TRX,8
T_DETALLE_RELLAMADORES_ENTRANTES,8
T_DETALLE_RELLAMADORES_ENTRANTES_X_PLATAF,9
T_DETALLE_RELLAMADORES_EN_20D,7
T_DETALLE_TRANSFERENCIAS_MISMO_RP,11
T_DETALLE_TRANSFERENCIAS_MISMO_RP_2,12
T_LISTA_AGENTE_REIT_DIA,8
T_LISTA_AGENTE_TRANSF_DIA,8
T_LISTA_BLANCA_RELLAMADORES_AURA,9
T_LISTA_CTI_ATENDIDAS_TMO,28
T_LISTA_RETIRAR_RPS_CLIENTES_NO_MIGRADOS,1
T_LISTA_RETIRAR_RPS_CLIENTES_NO_MIGRADOS_20241022,1
T_LOG_BASE_NPS_AVISO_CORTE,4
T_METRICAS_REIT_TRANSF_AMELIA,9
T_METRICAS_TRANSFERENCIAS_DIA_CURSO,7
T_REPORTE_CTI_DIARIO,24
T_REPORTE_CTI_MENSUAL,36
T_RESUMEN_COPC_72HR_ATENDIDAS,13
T_RESUMEN_COPC_72HR_ATENDIDAS_BU,13
T_RESUMEN_COPC_72_HR_GENERA,14
T_RESUMEN_COPC_72_HR_GENERA_BU,14
T_RESUMEN_COPC_ORI_DES_72HR,14
T_RESUMEN_CTI_72HR,36
T_RESUMEN_CTI_72HR_FACTURACION,36
T_RESUMEN_CTI_DIARIO,17
T_RESUMEN_CUARTILES,20
T_RESUMEN_CUARTILES_FINAL,20
T_RESUMEN_METRICAS_PLATAFORMA,15
T_RESUMEN_METRICAS_REITERADAS_TRX_ODS,13
T_RESUMEN_ORIGEN_DESTINO_PRUEBA,14
T_RESUMEN_QUARTIL_RELL,5
T_RESUMEN_QUARTIL_RELL_30MIN,5
T_RESUMEN_QUARTIL_TRANS,5
T_RESUMEN_RANGO_RELLAMADORES_EN_IVR,4
T_RESUMEN_REITERADAS_TRXS,13
T_RESUMEN_REITERADAS_TRXS_BU,13
T_RESUMEN_TRANSFERENCIAS_MISMP_RP,10
T_RES_ANALISIS_CLIENTES_TEC_FIJA,8
T_RES_INDICADOR_REIT_DIARIO,8
T_Resumen_Reiteracion_IVR,4
T_TABLA_RESUMEN_REPETICIONES,7
T_TMP_DETALLE,21
T_TMP_DETALLE_DIARIO,19
T_TMP_DETALLE_DIA_CURSO,20
T_TMP_DETALLE_TRAFICO,22
T_TMP_DETALLE_TRAFICO_TRANSFERENCIAS,26
T_TMP_DETALLE_TRAFICO_VENTAS,21
T_TMP_DETALLE_TRANSFERENCIAS,45
T_TMP_LD_CLIENTES_REITERADORES,4
T_TMP_TMO_REAL,3
T_TMP_TRAFICO,14
T_TMP_TRAZABILIDAD_CDR__TRANSF_MOVIL_A_FIJA,16
