database,table,columns
CONTROL,T_ADMIN_BASE_DATOS,14
CONTROL,T_ADMIN_BASE_DATOS_ANTERIOR,14
CONTROL,T_ADMIN_DISCO_DURO,7
CONTROL,T_ADMIN_DISCO_DURO_ANTERIOR,7
CONTROL,T_ADMIN_TAMANIO_TABLAS,12
CONTROL,T_ADMIN_TAMANIO_TABLAS_ANTERIOR,12
CONTROL,T_LOG_PROCESOS,4
CONTROL,T_WHO2_CAPTURA,14
DETALLE_LLAMADAS,T_ANIS_UNICOS,6
DETALLE_LLAMADAS,T_DETALLE_ABANDONO,17
DETALLE_LLAMADAS,T_DETALLE_INFOMART_202503,72
DETALLE_LLAMADAS,T_HISPAM_RESUMEN,5
DETALLE_LLAMADAS,T_LISTADO_DNIS_GENESYS_V2,5
DETALLE_LLAMADAS,T_LISTADO_RP_ATENCION_RAPIDA,6
DETALLE_LLAMADAS,T_LISTA_BLANCA,1
DETALLE_LLAMADAS,T_LISTA_CABINAS,9
DETALLE_LLAMADAS,T_LISTA_CABINAS_OLD,9
DETALLE_LLAMADAS,T_LISTA_DNI_TEMPO,1
DETALLE_LLAMADAS,T_LISTA_NEGRA,8
DETALLE_LLAMADAS,T_TEMPORAL_DETALLE_LLAMADAS_V7,33
DETALLE_LLAMADAS,T_TEMP_DETALLE_INFOMART,70
DETALLE_LLAMADAS,T_TEMP_DETALLE_INFORMART_V5,72
DETALLE_LLAMADAS,T_TMP_LISTA_CABINAS,9
DETALLE_LLAMADAS,base_multicentro,1
DETALLE_LLAMADAS,sysdiagrams,5
DETALLE_NOT_READY,T_AGENT_NOT_READY_REASON_CODE_REPORT,9
DETALLE_NOT_READY,T_AGENT_NOT_READY_REASON_CODE_REPORT_202311,9
DETALLE_NOT_READY,T_AGENT_NOT_READY_REASON_CODE_REPORT_202312,9
DETALLE_NOT_READY,T_AGENT_NOT_READY_REASON_CODE_REPORT_202401,9
DETALLE_NOT_READY,T_AGENT_NOT_READY_REASON_CODE_REPORT_202402,9
DETALLE_NOT_READY,T_AGENT_NOT_READY_REASON_CODE_REPORT_202403,9
DETALLE_NOT_READY,T_AGENT_NOT_READY_REASON_CODE_REPORT_202404,9
DETALLE_NOT_READY,T_TEMP_Agent_Not_Ready_Reason_Code_Report_Today_PASO_1,11
DETALLE_RELLAMADAS_TRANSFERENCIAS,20240917___LLAMADAS_ATENDIDAS_FACTURACION,58
DETALLE_RELLAMADAS_TRANSFERENCIAS,20240917_____T_TMP_DETALLE,21
DETALLE_RELLAMADAS_TRANSFERENCIAS,JCO_LISTADO_CTI_DIARIO,24
DETALLE_RELLAMADAS_TRANSFERENCIAS,LD_CLIENTES_REIT,5
DETALLE_RELLAMADAS_TRANSFERENCIAS,LD_TMP_TABLA_BATCHERO_ELIMINA_ARCHIVOS_IHV5_POR_HORAS,1
DETALLE_RELLAMADAS_TRANSFERENCIAS,LLAMADAS_ATENDIDAS,58
DETALLE_RELLAMADAS_TRANSFERENCIAS,LLAMADAS_ATENDIDAS_FACTURACION,58
DETALLE_RELLAMADAS_TRANSFERENCIAS,PROCESO_LOG_PROCESO_REIT_Y_TRANSF,4
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_CTI,23
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_RESUMEN_AGENTE_REITERADAS,9
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_RESUMEN_AGENTE_REITERADAS_CUARTIL,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_RESUMEN_CTI,27
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_RESUMEN_Q_RELL,5
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_RESUMEN_Q_TRX,5
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_T_RESUMEN_AGENTE_TRANSF_CUARTIL,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,TMP_T_RESUMEN_AGENTE_TRX,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_DETALLE_RELLAMADORES_ENTRANTES,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_DETALLE_RELLAMADORES_ENTRANTES_X_PLATAF,9
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_DETALLE_RELLAMADORES_EN_20D,7
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_DETALLE_TRANSFERENCIAS_MISMO_RP,11
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_DETALLE_TRANSFERENCIAS_MISMO_RP_2,12
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_LISTA_AGENTE_REIT_DIA,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_LISTA_AGENTE_TRANSF_DIA,8
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_LISTA_BLANCA_RELLAMADORES_AURA,9
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_LISTA_CTI_ATENDIDAS_TMO,28
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_LISTA_RETIRAR_RPS_CLIENTES_NO_MIGRADOS,1
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_LISTA_RETIRAR_RPS_CLIENTES_NO_MIGRADOS_20241022,1
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_LOG_BASE_NPS_AVISO_CORTE,4
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_METRICAS_REIT_TRANSF_AMELIA,9
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_METRICAS_TRANSFERENCIAS_DIA_CURSO,7
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_REPORTE_CTI_DIARIO,24
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_REPORTE_CTI_MENSUAL,36
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_COPC_72HR_ATENDIDAS,13
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_COPC_72HR_ATENDIDAS_BU,13
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_COPC_72_HR_GENERA,14
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_COPC_72_HR_GENERA_BU,14
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_COPC_ORI_DES_72HR,14
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CTI_72HR,36
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CTI_72HR_FACTURACION,36
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CTI_DIARIO,17
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CUARTILES,20
DETALLE_RELLAMADAS_TRANSFERENCIAS,T_RESUMEN_CUARTILES_FINAL,20
