table,columns
LYT_INTENT_SESIONES_202201,13
LYT_INTENT_SESIONES_202202,13
LYT_INTENT_SESIONES_202203,13
LYT_INTENT_SESIONES_202204,13
LYT_INTENT_SESIONES_202205,13
LYT_INTENT_SESIONES_202206,13
LYT_INTENT_SESIONES_202207,13
LYT_INTENT_SESIONES_202208,13
LYT_INTENT_SESIONES_202209,13
LYT_INTENT_SESIONES_202210,13
LYT_INTENT_SESIONES_202211,13
LYT_INTENT_SESIONES_202212,13
LYT_INTERACCIONES_202201,141
LYT_INTERACCIONES_202202,141
LYT_INTERACCIONES_202203,141
LYT_INTERACCIONES_202204,141
LYT_INTERACCIONES_202205,141
LYT_INTERACCIONES_202206,141
LYT_INTERACCIONES_202207,141
LYT_INTERACCIONES_202208,141
LYT_INTERACCIONES_202209,141
LYT_INTERACCIONES_202210,141
LYT_INTERACCIONES_202211,141
LYT_INTERACCIONES_202212,141
LYT_SESIONES_202201,174
LYT_SESIONES_202202,107
LYT_SESIONES_202203,107
LYT_SESIONES_202204,107
LYT_SESIONES_202205,107
LYT_SESIONES_202206,107
LYT_SESIONES_202207,107
LYT_SESIONES_202208,107
LYT_SESIONES_202209,107
LYT_SESIONES_202210,107
LYT_SESIONES_202211,107
LYT_SESIONES_202212,107
LYT_INTERACCIONES_202301,144
LYT_INTERACCIONES_202302,144
LYT_INTERACCIONES_202303,144
LYT_INTERACCIONES_202304,144
LYT_INTERACCIONES_202305,144
LYT_INTERACCIONES_202306,144
LYT_INTERACCIONES_202307,144
LYT_INTERACCIONES_202308,144
LYT_INTERACCIONES_202309,144
LYT_INTERACCIONES_202310,144
LYT_INTERACCIONES_202311,144
LYT_INTERACCIONES_202312,144
LYT_SESIONES_202301,113
LYT_SESIONES_202302,113
LYT_SESIONES_202303,113
LYT_SESIONES_202304,113
LYT_SESIONES_202305,113
LYT_SESIONES_202306,113
LYT_SESIONES_202307_NEW,113
LYT_SESIONES_202308_NEW,113
LYT_SESIONES_202309_NEW,113
LYT_SESIONES_202310_NEW,113
LYT_SESIONES_202311_NEW,113
LYT_SESIONES_202312_NEW,113
LYT_VISOR_TIPIFICACIONES_202301,80
LYT_VISOR_TIPIFICACIONES_202302,80
LYT_VISOR_TIPIFICACIONES_202303,80
LYT_VISOR_TIPIFICACIONES_202304,80
LYT_VISOR_TIPIFICACIONES_202305,80
LYT_VISOR_TIPIFICACIONES_202306,80
LYT_VISOR_TIPIFICACIONES_202307,80
LYT_VISOR_TIPIFICACIONES_202308,80
LYT_VISOR_TIPIFICACIONES_202309,80
LYT_VISOR_TIPIFICACIONES_202310,80
LYT_VISOR_TIPIFICACIONES_202311,80
LYT_VISOR_TIPIFICACIONES_202312,80
LYT_CONTACT_CENTER_ACCESADAS_202301,199
LYT_CONTACT_CENTER_ACCESADAS_202302,199
LYT_CONTACT_CENTER_ACCESADAS_202303,199
LYT_CONTACT_CENTER_ACCESADAS_202304,199
LYT_CONTACT_CENTER_ACCESADAS_202305,199
LYT_CONTACT_CENTER_ACCESADAS_202306,199
LYT_CONTACT_CENTER_ACCESADAS_202307,199
LYT_CONTACT_CENTER_ACCESADAS_202308,199
LYT_CONTACT_CENTER_ACCESADAS_202309,199
LYT_CONTACT_CENTER_ACCESADAS_202310,199
LYT_CONTACT_CENTER_ACCESADAS_202311,199
LYT_CONTACT_CENTER_ACCESADAS_202312,199
LYT_CONTACT_CENTER_ENTRANTES_202301,164
LYT_CONTACT_CENTER_ENTRANTES_202302,164
LYT_CONTACT_CENTER_ENTRANTES_202303,164
LYT_CONTACT_CENTER_ENTRANTES_202304,164
LYT_CONTACT_CENTER_ENTRANTES_202305,164
LYT_CONTACT_CENTER_ENTRANTES_202306,164
LYT_CONTACT_CENTER_ENTRANTES_202307,164
LYT_CONTACT_CENTER_ENTRANTES_202308,164
LYT_CONTACT_CENTER_ENTRANTES_202309,164
LYT_CONTACT_CENTER_ENTRANTES_202310,164
LYT_CONTACT_CENTER_ENTRANTES_202311,164
LYT_CONTACT_CENTER_ENTRANTES_202312,164
LYT_TIPIFICACIONES_MES_202301_202312,79
LYT_INTERACCIONES_202401,144
LYT_INTERACCIONES_202402,144
LYT_INTERACCIONES_202403,144
LYT_INTERACCIONES_202404,144
LYT_INTERACCIONES_202405,144
LYT_INTERACCIONES_202406,144
LYT_INTERACCIONES_202407,144
LYT_INTERACCIONES_202408,144
LYT_INTERACCIONES_202409,144
LYT_INTERACCIONES_202410,144
LYT_INTERACCIONES_202411,144
LYT_INTERACCIONES_202412,144
LYT_SESIONES_202401,114
LYT_SESIONES_202402,114
LYT_SESIONES_202403,114
LYT_SESIONES_202404,114
LYT_SESIONES_202405,114
LYT_SESIONES_202406,114
LYT_SESIONES_202407,116
LYT_SESIONES_202408,116
LYT_SESIONES_202409,116
LYT_SESIONES_202410,116
LYT_SESIONES_202411,116
LYT_SESIONES_202412,116
LYT_CONTACT_CENTER_ACCESADAS_202401,199
LYT_CONTACT_CENTER_ACCESADAS_202402,199
LYT_CONTACT_CENTER_ACCESADAS_202403,199
LYT_CONTACT_CENTER_ACCESADAS_202404,199
LYT_CONTACT_CENTER_ACCESADAS_202405,202
LYT_CONTACT_CENTER_ACCESADAS_202406,205
LYT_CONTACT_CENTER_ACCESADAS_202407,214
LYT_CONTACT_CENTER_ACCESADAS_202408,214
LYT_CONTACT_CENTER_ACCESADAS_202409,214
LYT_CONTACT_CENTER_ACCESADAS_202410,214
LYT_CONTACT_CENTER_ACCESADAS_202411,214
LYT_CONTACT_CENTER_ACCESADAS_202412,214
LYT_CONTACT_CENTER_ENTRANTES_202401,164
LYT_CONTACT_CENTER_ENTRANTES_202402,164
LYT_CONTACT_CENTER_ENTRANTES_202403,164
LYT_CONTACT_CENTER_ENTRANTES_202404,164
LYT_CONTACT_CENTER_ENTRANTES_202405,164
LYT_CONTACT_CENTER_ENTRANTES_202406,164
LYT_CONTACT_CENTER_ENTRANTES_202407,164
LYT_CONTACT_CENTER_ENTRANTES_202408,164
LYT_CONTACT_CENTER_ENTRANTES_202409,164
LYT_CONTACT_CENTER_ENTRANTES_202410,164
LYT_CONTACT_CENTER_ENTRANTES_202411,164
LYT_CONTACT_CENTER_ENTRANTES_202412,164
LYT_TIPIFICACIONES_MES_2024,84
LYT_FACO_2023,21
LYT_FACO_2024,21
LYT_FACO_SUBSCRIBER_2023,6
PLANTA_CMS_202412,94
PLANTA_CMS_202501,94
PLANTA_CMS_202502,94
PLANTA_CMS_202503,94
PLANTA_CMS_202504,94
PLANTA_CMS_202505,94
PLANTA_CMS_202506,94
PLANTA_CMS_202507,94
PLANTA_CMS_202508,94
PLANTA_CMS_202509,94
PLANTA_CMS_202510,94
PLANTA_CMS_202511,94
PLANTA_FIJA_202101,59
PLANTA_FIJA_202102,59
PLANTA_FIJA_202103,59
PLANTA_FIJA_202104,59
PLANTA_FIJA_202105,59
PLANTA_FIJA_202106,59
PLANTA_FIJA_202107,59
PLANTA_FIJA_202108,59
PLANTA_FIJA_202109,59
PLANTA_FIJA_202110,59
PLANTA_FIJA_202111,59
PLANTA_FIJA_202112,67
PLANTA_FIJA_202301,92
PLANTA_FIJA_202302,92
PLANTA_FIJA_202303,92
PLANTA_FIJA_202304,92
PLANTA_FIJA_202305,92
PLANTA_FIJA_202306,92
PLANTA_FIJA_202307,92
PLANTA_FIJA_202308,92
PLANTA_FIJA_202309,92
PLANTA_FIJA_202310,92
PLANTA_FIJA_202311,92
PLANTA_FIJA_202312,92
PLANTA_FIJA_202401,68
PLANTA_FIJA_202402,68
PLANTA_FIJA_202403,68
PLANTA_FIJA_202404,68
PLANTA_FIJA_202405,68
PLANTA_FIJA_202406,68
PLANTA_FIJA_202407,68
PLANTA_FIJA_202408,68
PLANTA_FIJA_202409,68
PLANTA_FIJA_202410,68
PLANTA_FIJA_202411,68
PLANTA_FIJA_202412,232
PLANTA_MOVIL_202101,50
PLANTA_MOVIL_202102,50
PLANTA_MOVIL_202103,50
PLANTA_MOVIL_202104,50
PLANTA_MOVIL_202105,50
PLANTA_MOVIL_202106,50
PLANTA_MOVIL_202107,50
PLANTA_MOVIL_202108,50
PLANTA_MOVIL_202109,50
PLANTA_MOVIL_202110,50
PLANTA_MOVIL_202111,50
PLANTA_MOVIL_202112,50
PLANTA_MOVIL_202301,50
PLANTA_MOVIL_202302,50
PLANTA_MOVIL_202303,50
PLANTA_MOVIL_202304,50
PLANTA_MOVIL_202305,50
PLANTA_MOVIL_202306,50
PLANTA_MOVIL_202307,50
PLANTA_MOVIL_202308,50
PLANTA_MOVIL_202309,50
PLANTA_MOVIL_202310,50
PLANTA_MOVIL_202311,50
PLANTA_MOVIL_202312,50
PLANTA_MOVIL_202401,50
PLANTA_MOVIL_202402,50
PLANTA_MOVIL_202403,50
PLANTA_MOVIL_202404,50
PLANTA_MOVIL_202405,50
PLANTA_MOVIL_202406,50
PLANTA_MOVIL_202407,50
PLANTA_MOVIL_202408,50
PLANTA_MOVIL_202409,50
PLANTA_MOVIL_202410,50
PLANTA_MOVIL_202411,50
PLANTA_MOVIL_202412,50
PLANTA_MOVISTAR_TOTAL_202301,29
PLANTA_MOVISTAR_TOTAL_202302,29
PLANTA_MOVISTAR_TOTAL_202303,29
PLANTA_MOVISTAR_TOTAL_202304,29
PLANTA_MOVISTAR_TOTAL_202305,29
PLANTA_MOVISTAR_TOTAL_202306,29
PLANTA_MOVISTAR_TOTAL_202307,29
PLANTA_MOVISTAR_TOTAL_202308,29
PLANTA_MOVISTAR_TOTAL_202309,29
PLANTA_MOVISTAR_TOTAL_202310,29
PLANTA_MOVISTAR_TOTAL_202311,29
PLANTA_MOVISTAR_TOTAL_202312,29
PLANTA_MOVISTAR_TOTAL_202401,9
PLANTA_MOVISTAR_TOTAL_202402,9
PLANTA_MOVISTAR_TOTAL_202403,9
PLANTA_MOVISTAR_TOTAL_202404,9
PLANTA_MOVISTAR_TOTAL_202405,9
PLANTA_MOVISTAR_TOTAL_202406,9
PLANTA_MOVISTAR_TOTAL_202407,9
PLANTA_MOVISTAR_TOTAL_202408,9
PLANTA_MOVISTAR_TOTAL_202409,9
PLANTA_MOVISTAR_TOTAL_202410,9
PLANTA_MOVISTAR_TOTAL_202411,9
PLANTA_MOVISTAR_TOTAL_202412,9
PLANTA_MOVISTAR_TOTAL_BI_202408,37
PLANTA_MOVISTAR_TOTAL_BI_202409,37
PLANTA_MOVISTAR_TOTAL_BI_202410,37
PLANTA_MOVISTAR_TOTAL_BI_202411,37
PLANTA_MOVISTAR_TOTAL_BI_202412,37
Planta_Movistar_Total_202101,29
Planta_Movistar_Total_202102,29
TP_CALIDAD_CRUCES,4
T_ADMIN_BASE_DATOS,14
T_ADMIN_BASE_DATOS_ANTERIOR,14
T_ADMIN_DISCO_DURO,7
T_ADMIN_DISCO_DURO_ANTERIOR,7
T_ADMIN_TAMANIO_TABLAS,12
T_ADMIN_TAMANIO_TABLAS_ANTERIOR,12
T_WHO2_CAPTURA,14
20230307_VALIDAR_REGULADOS_OSIPTEL_NO_AURA_202204,64
20230307_VALIDAR_REGULADOS_OSIPTEL_NO_AURA_202208,65
BD_ENCUESTAS_FACO_ABR24_ABR25,69
Base_Q_Alarmas_202501,6
Base_Q_Alarmas_202503,6
CANAL_MARCACION,4
CATALOGO_VISOR_TIPIS,13
Catalogo_Motivos_Tipificador_Visor_Ranking_OSIPTEL_v2,5
GMC_CATALAGO_OSIPTEL_202401,5
GMC_CATALOGO_V2,5
JSH_BASE_TIPIFICACIONES_VISOR_RANKING_OSIPTEL_2023_07_08_09,17
JSH_BASE_TIPIFICACIONES_VISOR_RANKING_OSIPTEL_2023_10_11_12,17
JSH_Base_Disponibilidad_01_06_enero,8
JSH_Base_Disponibilidad_01_20_marzo,8
JSH_Base_Disponibilidad_03_09_febrero,8
JSH_Base_Disponibilidad_03_09_marzo,8
JSH_Base_Disponibilidad_07a14enero,8
JSH_Base_Disponibilidad_10_17_marzo,8
JSH_Base_Disponibilidad_10_18_febrero,8
JSH_Base_Disponibilidad_15_19_enero,8
JSH_Base_Disponibilidad_19_23_febrero,8
JSH_Base_Disponibilidad_202507,8
JSH_Base_Disponibilidad_20_26_enero,8
JSH_Base_Disponibilidad_21_31_marzo,8
JSH_Base_Disponibilidad_24_28_febrero,8
JSH_Base_Disponibilidad_27_enero_al_02_febrero,8
JSH_Base_Disponibilidad_abril_21_25,8
JSH_Base_Disponibilidad_abril_26_30,8
JSH_Base_Disponibilidad_junio_01_04,8
JSH_Base_Disponibilidad_junio_05_10,8
JSH_Base_Disponibilidad_junio_11_23,8
JSH_Base_Disponibilidad_junio_21_30,8
JSH_Base_Disponibilidad_mayo_01_04,8
JSH_Base_Disponibilidad_mayo_05_09,8
JSH_Base_Disponibilidad_mayo_10_14,8
JSH_Base_Disponibilidad_mayo_15_19,8
JSH_Base_Disponibilidad_mayo_20_25,8
JSH_Base_Disponibilidad_mayo_26_30,8
KCS_CATALOGO_MOTIVOS_OSIPTEL,3
T_BASE_202209,51
T_BASE_202210,51
T_BASE_202211,51
T_BASE_202212,51
T_BASE_202301,69
T_BASE_202302,69
T_BASE_202303,69
T_BASE_202304,69
