database,table,columns
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202201,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202202,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202203,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202204,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202205,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202206,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202207,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202208,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202209,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202210,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202211,13
BACKUP_2022_CCEE,LYT_INTENT_SESIONES_202212,13
BACKUP_2022_CCEE,LYT_INTERACCIONES_202201,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202202,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202203,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202204,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202205,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202206,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202207,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202208,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202209,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202210,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202211,141
BACKUP_2022_CCEE,LYT_INTERACCIONES_202212,141
BACKUP_2022_CCEE,LYT_SESIONES_202201,174
BACKUP_2022_CCEE,LYT_SESIONES_202202,107
BACKUP_2022_CCEE,LYT_SESIONES_202203,107
BACKUP_2022_CCEE,LYT_SESIONES_202204,107
BACKUP_2022_CCEE,LYT_SESIONES_202205,107
BACKUP_2022_CCEE,LYT_SESIONES_202206,107
BACKUP_2022_CCEE,LYT_SESIONES_202207,107
BACKUP_2022_CCEE,LYT_SESIONES_202208,107
BACKUP_2022_CCEE,LYT_SESIONES_202209,107
BACKUP_2022_CCEE,LYT_SESIONES_202210,107
BACKUP_2022_CCEE,LYT_SESIONES_202211,107
BACKUP_2022_CCEE,LYT_SESIONES_202212,107
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202301,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202302,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202303,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202304,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202305,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202306,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202307,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202308,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202309,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202310,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202311,144
BACKUP_2023_CCEE_INTERACCIONES,LYT_INTERACCIONES_202312,144
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202301,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202302,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202303,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202304,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202305,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202306,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202307_NEW,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202308_NEW,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202309_NEW,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202310_NEW,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202311_NEW,113
BACKUP_2023_CCEE_SESIONES,LYT_SESIONES_202312_NEW,113
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202301,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202302,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202303,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202304,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202305,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202306,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202307,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202308,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202309,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202310,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202311,80
BACKUP_2023_VISOR,LYT_VISOR_TIPIFICACIONES_202312,80
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202301,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202302,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202303,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202304,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202305,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202306,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202307,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202308,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202309,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202310,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202311,199
BACKUP_2023_VOZ,LYT_CONTACT_CENTER_ACCESADAS_202312,199
