table,columns
AVERIAS_LIQUIDADAS_202101,227
AVERIAS_LIQUIDADAS_202102,227
AVERIAS_LIQUIDADAS_202103,227
AVERIAS_LIQUIDADAS_202104,227
AVERIAS_LIQUIDADAS_202105,227
AVERIAS_LIQUIDADAS_202106,245
AVERIAS_LIQUIDADAS_202107,248
AVERIAS_LIQUIDADAS_202108,248
AVERIAS_LIQUIDADAS_202109,248
AVERIAS_LIQUIDADAS_202110,248
AVERIAS_LIQUIDADAS_202111,251
AVERIAS_LIQUIDADAS_202112,255
DEVUELTAS_COMERCIALES_QUIEBRE_202001,57
LYT_AVERIAS_LIQUIDADAS_202101,102
LYT_AVERIAS_LIQUIDADAS_202102,102
LYT_AVERIAS_LIQUIDADAS_202103,102
LYT_AVERIAS_LIQUIDADAS_202104,102
LYT_AVERIAS_LIQUIDADAS_202105,102
LYT_AVERIAS_LIQUIDADAS_202106,102
LYT_AVERIAS_LIQUIDADAS_202107,108
LYT_AVERIAS_LIQUIDADAS_202108,108
LYT_AVERIAS_LIQUIDADAS_202109,108
LYT_AVERIAS_LIQUIDADAS_202110,119
LYT_AVERIAS_LIQUIDADAS_202111,119
LYT_AVERIAS_LIQUIDADAS_202112,119
LYT_AVERIAS_MASIVAS_202101,62
LYT_AVERIAS_MASIVAS_202102,62
LYT_AVERIAS_MASIVAS_202103,62
LYT_AVERIAS_MASIVAS_202104,62
LYT_AVERIAS_MASIVAS_202105,62
LYT_AVERIAS_MASIVAS_202109,62
LYT_AVERIAS_MASIVAS_202110,62
LYT_AVERIAS_MASIVAS_202112,62
LYT_DEVUELTAS_COMERCIALES_202101,88
LYT_DEVUELTAS_COMERCIALES_202102,88
LYT_DEVUELTAS_COMERCIALES_202103,88
LYT_DEVUELTAS_COMERCIALES_202104,88
LYT_DEVUELTAS_COMERCIALES_202105,88
LYT_DEVUELTAS_COMERCIALES_202106,88
LYT_DEVUELTAS_COMERCIALES_202107,88
LYT_DEVUELTAS_COMERCIALES_202108,88
LYT_DEVUELTAS_COMERCIALES_202109,88
LYT_DEVUELTAS_COMERCIALES_202110,88
LYT_DEVUELTAS_COMERCIALES_202111,88
LYT_DEVUELTAS_COMERCIALES_202112,88
LYT_DEVUELTAS_TECNICAS_202101,55
LYT_DEVUELTAS_TECNICAS_202102,55
LYT_DEVUELTAS_TECNICAS_202103,55
LYT_DEVUELTAS_TECNICAS_202104,55
LYT_DEVUELTAS_TECNICAS_202105,55
LYT_DEVUELTAS_TECNICAS_202106,55
LYT_DEVUELTAS_TECNICAS_202107,55
LYT_DEVUELTAS_TECNICAS_202108,55
LYT_DEVUELTAS_TECNICAS_202109,55
LYT_DEVUELTAS_TECNICAS_202110,55
LYT_DEVUELTAS_TECNICAS_202111,55
LYT_DEVUELTAS_TECNICAS_202112,55
LYT_PROVISION_EJECUTADA_202101,88
LYT_PROVISION_EJECUTADA_202102,88
LYT_PROVISION_EJECUTADA_202103,88
LYT_PROVISION_EJECUTADA_202104,88
LYT_PROVISION_EJECUTADA_202105,88
LYT_PROVISION_EJECUTADA_202106,88
LYT_PROVISION_EJECUTADA_202107,88
LYT_PROVISION_EJECUTADA_202108,88
LYT_PROVISION_EJECUTADA_202109,88
LYT_PROVISION_EJECUTADA_202110,88
LYT_PROVISION_EJECUTADA_202111,88
LYT_PROVISION_EJECUTADA_202112,88
LYT_VISOR_TIPIFICACIONES_202101_202112,78
LYT_VISOR_TIPIFICACIONES_202207_202212,78
MULTICONSULTA_ARBOL_DECISIONES_202106,79
MULTICONSULTA_ARBOL_DECISIONES_202107,79
MULTICONSULTA_ARBOL_DECISIONES_202108,79
MULTICONSULTA_ARBOL_DECISIONES_202109,79
MULTICONSULTA_ARBOL_DECISIONES_202110,79
MULTICONSULTA_ARBOL_DECISIONES_202111,79
MULTICONSULTA_ARBOL_DECISIONES_202112,79
PLANTA_CLIENTE_DIGITAL_202101,62
PLANTA_CLIENTE_DIGITAL_202102,62
PLANTA_CLIENTE_DIGITAL_202103,62
PLANTA_CLIENTE_DIGITAL_202104,62
PLANTA_CLIENTE_DIGITAL_202105,62
PLANTA_CLIENTE_DIGITAL_202106,62
PLANTA_CLIENTE_DIGITAL_202107,62
PLANTA_CLIENTE_DIGITAL_202108,62
PLANTA_CLIENTE_DIGITAL_202109,62
