database,table,columns
BACKUP_2021,AVERIAS_LIQUIDADAS_202101,227
BACKUP_2021,AVERIAS_LIQUIDADAS_202102,227
BACKUP_2021,AVERIAS_LIQUIDADAS_202103,227
BACKUP_2021,AVERIAS_LIQUIDADAS_202104,227
BACKUP_2021,AVERIAS_LIQUIDADAS_202105,227
BACKUP_2021,AVERIAS_LIQUIDADAS_202106,245
BACKUP_2021,AVERIAS_LIQUIDADAS_202107,248
BACKUP_2021,AVERIAS_LIQUIDADAS_202108,248
BACKUP_2021,AVERIAS_LIQUIDADAS_202109,248
BACKUP_2021,AVERIAS_LIQUIDADAS_202110,248
BACKUP_2021,AVERIAS_LIQUIDADAS_202111,251
BACKUP_2021,AVERIAS_LIQUIDADAS_202112,255
BACKUP_2021,DEVUELTAS_COMERCIALES_QUIEBRE_202001,57
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202101,102
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202102,102
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202103,102
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202104,102
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202105,102
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202106,102
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202107,108
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202108,108
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202109,108
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202110,119
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202111,119
BACKUP_2021,LYT_AVERIAS_LIQUIDADAS_202112,119
BACKUP_2021,LYT_AVERIAS_MASIVAS_202101,62
BACKUP_2021,LYT_AVERIAS_MASIVAS_202102,62
BACKUP_2021,LYT_AVERIAS_MASIVAS_202103,62
BACKUP_2021,LYT_AVERIAS_MASIVAS_202104,62
BACKUP_2021,LYT_AVERIAS_MASIVAS_202105,62
BACKUP_2021,LYT_AVERIAS_MASIVAS_202109,62
BACKUP_2021,LYT_AVERIAS_MASIVAS_202110,62
BACKUP_2021,LYT_AVERIAS_MASIVAS_202112,62
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202101,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202102,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202103,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202104,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202105,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202106,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202107,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202108,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202109,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202110,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202111,88
BACKUP_2021,LYT_DEVUELTAS_COMERCIALES_202112,88
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202101,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202102,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202103,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202104,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202105,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202106,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202107,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202108,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202109,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202110,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202111,55
BACKUP_2021,LYT_DEVUELTAS_TECNICAS_202112,55
BACKUP_2021,LYT_PROVISION_EJECUTADA_202101,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202102,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202103,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202104,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202105,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202106,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202107,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202108,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202109,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202110,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202111,88
BACKUP_2021,LYT_PROVISION_EJECUTADA_202112,88
BACKUP_2021,LYT_VISOR_TIPIFICACIONES_202101_202112,78
BACKUP_2021,LYT_VISOR_TIPIFICACIONES_202207_202212,78
BACKUP_2021,MULTICONSULTA_ARBOL_DECISIONES_202106,79
BACKUP_2021,MULTICONSULTA_ARBOL_DECISIONES_202107,79
BACKUP_2021,MULTICONSULTA_ARBOL_DECISIONES_202108,79
BACKUP_2021,MULTICONSULTA_ARBOL_DECISIONES_202109,79
BACKUP_2021,MULTICONSULTA_ARBOL_DECISIONES_202110,79
BACKUP_2021,MULTICONSULTA_ARBOL_DECISIONES_202111,79
BACKUP_2021,MULTICONSULTA_ARBOL_DECISIONES_202112,79
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202101,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202102,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202103,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202104,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202105,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202106,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202107,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202108,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202109,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202110,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202111,62
BACKUP_2021,PLANTA_CLIENTE_DIGITAL_202112,62
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202101,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202102,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202103,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202104,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202105,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202106,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202107,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202108,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202109,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202110,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202111,30
BACKUP_2021,PLANTA_CLIENTE_UNICO_DIGITAL_202112,30
BACKUP_2021,PLANTA_FIJA_202101,59
BACKUP_2021,PLANTA_FIJA_202102,59
BACKUP_2021,PLANTA_FIJA_202103,59
BACKUP_2021,PLANTA_FIJA_202104,59
BACKUP_2021,PLANTA_FIJA_202105,59
BACKUP_2021,PLANTA_FIJA_202106,59
BACKUP_2021,PLANTA_FIJA_202107,59
BACKUP_2021,PLANTA_FIJA_202108,59
BACKUP_2021,PLANTA_FIJA_202109,59
BACKUP_2021,PLANTA_FIJA_202110,59
BACKUP_2021,PLANTA_FIJA_202111,59
BACKUP_2021,PLANTA_FIJA_202112,67
BACKUP_2021,PLANTA_MOVIL_202101,50
BACKUP_2021,PLANTA_MOVIL_202102,50
BACKUP_2021,PLANTA_MOVIL_202103,50
BACKUP_2021,PLANTA_MOVIL_202104,50
BACKUP_2021,PLANTA_MOVIL_202105,50
BACKUP_2021,PLANTA_MOVIL_202106,50
BACKUP_2021,PLANTA_MOVIL_202107,50
BACKUP_2021,PLANTA_MOVIL_202108,50
BACKUP_2021,PLANTA_MOVIL_202109,50
BACKUP_2021,PLANTA_MOVIL_202110,50
BACKUP_2021,PLANTA_MOVIL_202111,50
BACKUP_2021,PLANTA_MOVIL_202112,50
BACKUP_2021,Planta_Movistar_Total_202101,29
BACKUP_2021,Planta_Movistar_Total_202102,29
BACKUP_2021,Planta_Movistar_Total_202103,29
BACKUP_2021,Planta_Movistar_Total_202104,29
BACKUP_2021,Planta_Movistar_Total_202105,29
BACKUP_2021,Planta_Movistar_Total_202106,29
BACKUP_2021,Planta_Movistar_Total_202107,29
BACKUP_2021,Planta_Movistar_Total_202108,29
BACKUP_2021,Planta_Movistar_Total_202109,29
BACKUP_2021,Planta_Movistar_Total_202110,29
BACKUP_2021,Planta_Movistar_Total_202111,29
BACKUP_2021,Planta_Movistar_Total_202112,29
BACKUP_2021,RESUMEN_REIT_TRANS_VOZ_202101_202112,36
BACKUP_2021,RESUMEN_TIPIFICACIONES_BASE_ENTRANTES_202101_202112,11
BACKUP_2021,T_RESUMEN_AGENTES_TOTALES_2020_2021_2022,16
BACKUP_2022,DRH_Averias_Registradas,330
BACKUP_2022,DRH_Averias_Registradas_202201,330
BACKUP_2022,DRH_Averias_Registradas_202202,330
BACKUP_2022,DRH_Averias_Registradas_202203,330
BACKUP_2022,DRH_Averias_Registradas_202204,330
BACKUP_2022,DRH_Averias_Registradas_202205,330
BACKUP_2022,DRH_Averias_Registradas_202206,330
BACKUP_2022,DRH_Averias_Registradas_202207,330
BACKUP_2022,DRH_Averias_Registradas_202208,330
BACKUP_2022,LYT_TIPIFICACIONES_MES_202201,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202202,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202203,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202204,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202205,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202206,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202207,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202208,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202209,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202210,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202211,74
BACKUP_2022,LYT_TIPIFICACIONES_MES_202212,74
BACKUP_2022,LYT_VISOR_TIPIFICACIONES_202201_202206,78
BACKUP_2022,LYT_VISOR_TIPIFICACIONES_202209,80
BACKUP_2022,LYT_VISOR_TIPIFICACIONES_202210,80
BACKUP_2022,LYT_VISOR_TIPIFICACIONES_202211,80
BACKUP_2022,LYT_VISOR_TIPIFICACIONES_202212,80
BACKUP_2022,PLANTA_FIJA_202201,66
BACKUP_2022,PLANTA_FIJA_202202,66
BACKUP_2022,PLANTA_FIJA_202203,67
BACKUP_2022,PLANTA_FIJA_202204,67
BACKUP_2022,PLANTA_MOVIL_202201,49
BACKUP_2022,PLANTA_MOVIL_202202,49
BACKUP_2022,PLANTA_MOVIL_202203,49
BACKUP_2022,RESUMEN_REIT_TRANS_VOZ_2022,36
BACKUP_DEMANDA,RESUMEN_SATELITES_202411,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202412,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202501,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202502,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202503,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202504,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202505,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202506,19
BACKUP_DEMANDA,RESUMEN_SATELITES_202507,19
BACKUP_LOGSIEM,Visor_web_log_siem_202403,21
BACKUP_LOGSIEM,Visor_web_log_siem_202404,21
BACKUP_LOGSIEM,Visor_web_log_siem_202405,21
BACKUP_LOGSIEM,Visor_web_log_siem_202406,21
BACKUP_LOGSIEM,Visor_web_log_siem_202407,21
BACKUP_LOGSIEM,Visor_web_log_siem_202408,21
BACKUP_LOGSIEM,Visor_web_log_siem_202409,21
BACKUP_LOGSIEM,Visor_web_log_siem_202410,21
BACKUP_LOGSIEM,Visor_web_log_siem_202411,21
BACKUP_LOGSIEM,Visor_web_log_siem_202412,21
BACKUP_LOGSIEM,Visor_web_log_siem_202501,21
BACKUP_LOGSIEM,Visor_web_log_siem_202502,21
BACKUP_LOGSIEM,Visor_web_log_siem_202503,21
BACKUP_LOGSIEM,Visor_web_log_siem_202504,29
BACKUP_LOGSIEM,Visor_web_log_siem_202504_ant,21
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202301,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202302,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202303,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202304,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202305,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202306,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202307,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202308,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202309,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202310,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202311,67
BACKUP_PLANTAS,PLANTA_CLIENTE_DIGITAL_202312,67
CONTROL,STAGE.T_LISTA_TAREAS_PLANNER,18
CONTROL,Backup_Historial_Jobs_3meses,16
CONTROL,T_ADMIN_BASE_DATOS,14
CONTROL,T_ADMIN_BASE_DATOS_ANTERIOR,14
CONTROL,T_ADMIN_DISCO_DURO,7
CONTROL,T_ADMIN_DISCO_DURO_ANTERIOR,7
CONTROL,T_ADMIN_TAMANIO_TABLAS,12
CONTROL,T_ADMIN_TAMANIO_TABLAS_ANTERIOR,12
CONTROL,T_LISTA_USUARIOS_SQL,3
CONTROL,T_Lista_Tareas_Planner_Consolidado,18
CONTROL,T_WHO2_CAPTURA,14
CONTROL,USUARIOS,2
KIPU,ECD_Encuestas_CCEE,97
KIPU,ECD_TIPIFICACIONES_CCEE,8
KIPU,ENCUESTAS_MEDALLIA_CHECA_TU_CASO,25
KIPU,ENCUESTAS_MEDALLIA_ESPECIALIZADOS,24
KIPU,USUARIOS_MULTICANAL_ULT_ACT,36
PROCESOS_CRUCES,Ajustes_SAR_1_al_15_Marzo,2
PROCESOS_CRUCES,Atendidas,15
PROCESOS_CRUCES,Atendidas_Cobranzas,17
PROCESOS_CRUCES,BASE_DEUDORA_1,3
PROCESOS_CRUCES,BASE_DEUDORA_2,3
PROCESOS_CRUCES,BASE_INTENTOS_QUEJA_VISOR_ART_70_2023_07,54
PROCESOS_CRUCES,Base_Contactos_wifi,31
PROCESOS_CRUCES,CAL_MPH_ENCUESTAS_ACUMULADO_CALL_2023_05_06,62
PROCESOS_CRUCES,ENCUESTAS_IVR_OUT_202305,61
PROCESOS_CRUCES,ENCUESTAS_IVR_OUT_202306,61
PROCESOS_CRUCES,ENCUESTAS_IVR_OUT_FEEDBACK_GENESYS_202305,52
PROCESOS_CRUCES,ENCUESTAS_IVR_OUT_FEEDBACK_GENESYS_202306,52
PROCESOS_CRUCES,ENCUESTAS_IVR_OUT_FEEDBACK_GENESYS_202306_v2,52
PROCESOS_CRUCES,ENCUESTAS_IVR_OUT_LN_202305,69
PROCESOS_CRUCES,ENCUESTAS_LN_OUT_FEEDBACK_GENESYS_202305,38
PROCESOS_CRUCES,ESCM_Planta_Pangea_202304,28
PROCESOS_CRUCES,JSH_Base_planta_Fija_Velocidad_Configurada_OLTs,32
PROCESOS_CRUCES,JSH_Contingencia_Art_70_Quejas_Apelaciones_reclamos_temp,29
PROCESOS_CRUCES,JSH_Demanda_Call_Func_Movil,29
PROCESOS_CRUCES,KAJ_ANAlisis_MSG_Abr,6
PROCESOS_CRUCES,LINEAS_MOROSAS,1
PROCESOS_CRUCES,LLAMADAS_ABRIL,17
PROCESOS_CRUCES,LLAMADAS_ENERO,17
PROCESOS_CRUCES,LLAMADAS_FEBRERO,17
PROCESOS_CRUCES,LLAMADAS_FIJA_AGOSTO,11
PROCESOS_CRUCES,LLAMADAS_FIJA_JULIO,11
PROCESOS_CRUCES,LLAMADAS_MARZO,17
PROCESOS_CRUCES,MPH_ENCUESTAS_ACUMULADO_CALL,62
PROCESOS_CRUCES,TABLA_PROCESO_AUTO_1,2
PROCESOS_CRUCES,behm_Aura_Catalogo_CDU,8
PROCESOS_CRUCES,behm_Aura_Eficiencias,17
PROCESOS_CRUCES,behm_PBI_Aura_RepAtencion_history,27
PROCESOS_CRUCES,data_Plan263_lumini,5
PROCESOS_CRUCES,jsh_base_dnis_estudio_cosechas_mayo,1
PROYECTOS,AY_BD_DATOSMOVILES_HLR,56
PROYECTOS,AY_CLIENTES_UNICOS,10
PROYECTOS,AY_DATA,52
PROYECTOS,AY_INC,9
PROYECTOS,AY_INDICADORES_CONSOLIDADO_HIBRIDO_DIARIO,13
PROYECTOS,AY_INDICADORES_CONSOLIDADO_HIBRIDO_DIARIO_CL_UNICOS,22
PROYECTOS,AY_SMS_DIC_V3,2
PROYECTOS,AY_SMS_Dic_V2,2
PROYECTOS,BD_NERE,2
PROYECTOS,BD_NP,68
PROYECTOS,NP_FUNNEL_ACOTADO_RESUMEN,20
PROYECTOS,NP_FUNNEL_SUPER_ACOTADO_RESUMEN,14
PROYECTOS,PBI_RAT_LYT_ACCESADAS_AURA_RESUMEN_NOV24_JUL25,39
PROYECTOS,RA_AURA_CUALQUIER_CDU_REIT,40
PROYECTOS,RA_AURA_MISMO_CDU_REIT,40
PROYECTOS,RA_AURA_REIT,40
PROYECTOS,RA_AVERIAS_REGISTRO_LN_MUESTRA,19
PROYECTOS,RA_ENCUESTAS_AURA_ULT_MES,76
PROYECTOS,RA_ENCUESTA_ULT3MESES,58
PROYECTOS,RA_ENCUESTA_ULT6MESES,58
PROYECTOS,RA_ENTENDIMIENTO_PREG_ABIERTA,7
PROYECTOS,RA_ENTENDIMIENTO_PREG_ABIERTA_MES,6
PROYECTOS,RA_FUNNEL_ACOTADO_RESUMEN,21
PROYECTOS,RA_LN_INDICADORES_CONSOLIDADO,15
PROYECTOS,RA_LN_INDICADORES_CONSOLIDADO_DIARIO,15
PROYECTOS,RA_REITERACION_DISENO_AURA_CUALQUIER_CDU,40
PROYECTOS,RA_REITERACION_DISENO_AURA_IND_CONSOL,15
PROYECTOS,RA_REITERACION_DISENO_AURA_MISMO_CDU,40
PROYECTOS,RA_RESUMEN_AURA_CUALQUIER_CDU_REIT,38
PROYECTOS,RA_RESUMEN_AURA_MISMO_CDU_REIT,41
PROYECTOS,SMS_Dic_v2,2
PROYECTOS,sysdiagrams,5
DEFAULT_DB,20250219_Faco,18
DEFAULT_DB,20250219_Faco1,18
DEFAULT_DB,20250219_Faco2,18
DEFAULT_DB,DIM_MES,2
